external_id,display_name,description,address,latitude,longitude,opening_hours_text,opening_hours_json,source,source_url,is_active,created_at,updated_at
greatlist-msk-restaurant-copen-57,Copen 57,"Новое укромное бистро на Патриарших с кухней от петербургского шефа Александра Пименова — гимн датскому модернизму. Светлые теплые тона, натуральные материалы: лен, керамика, дерево, яркие декоративные акценты то тут, то там. Пименов, стажировавшийся в Копенгагене, поселил тут…","Малый Козихинский переулок, 10, стр. 1",55.764818,37.596051,Ежедневно 14:00-00:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[{""from"":""14:00"",""to"":""00:00"",""next_day"":true}],""tue"":[{""from"":""14:00"",""to"":""00:00"",""next_day"":true}],""wed"":[{""from"":""14:00"",""to"":""00:00"",""next_day"":true}],""thu"":[{""from"":""14:00"",""to"":""00:00"",""next_day"":true}],""fri"":[{""from"":""14:00"",""to"":""00:00"",""next_day"":true}],""sat"":[{""from"":""14:00"",""to"":""00:00"",""next_day"":true}],""sun"":[{""from"":""14:00"",""to"":""00:00"",""next_day"":true}]}}",greatlist,https://greatlist.ru/msk/restaurant/copen-57/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-rockets-concept-store,Rockets.concept store,"Новая фирменная точка известного кофейного бренда Rockets.coffee по адресу: Тверской б-р, 3. Белоснежный интерьер, отличный выбор спешелти-кофе и выпечки, симпатичные бранчи.","Тверской бул., 3",55.758378,37.598192,Ежедневно 9:00-23:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[{""from"":""09:00"",""to"":""23:00"",""next_day"":false}],""tue"":[{""from"":""09:00"",""to"":""23:00"",""next_day"":false}],""wed"":[{""from"":""09:00"",""to"":""23:00"",""next_day"":false}],""thu"":[{""from"":""09:00"",""to"":""23:00"",""next_day"":false}],""fri"":[{""from"":""09:00"",""to"":""23:00"",""next_day"":false}],""sat"":[{""from"":""09:00"",""to"":""23:00"",""next_day"":false}],""sun"":[{""from"":""09:00"",""to"":""23:00"",""next_day"":false}]}}",greatlist,https://greatlist.ru/msk/restaurant/rockets-concept-store/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-di-nulla,Di Nulla,"Шустрое итальянское бистро, придуманное и созданное мамой и дочерью на первом этаже ЖК Lucky, что на 2-й Звенигородской улице. Придумывали бистро под себя, отчего получилось гармоничное место для расслабленных жителей жилого комплекса. Белоснежные скатерти и дерево, обилие…","ул. 2-я Звенигородская, д. 12А",55.762135,37.555265,Ежедневно 08:00 – 00:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""tue"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""wed"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""thu"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""fri"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""sat"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""sun"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}]}}",greatlist,https://greatlist.ru/msk/restaurant/di-nulla/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-vysota-5642,Высота 5642,"Красочный и полный жизни ресторан кавказской кухни в Большом Черкасском пер., 15–17,стр. 1 Лучшие в Москве хинкали и потрясающая выпечка — от классических хачапури до творожной ватрушки.","Большой Черкасский пер., 15-17с1",55.755962,37.627588,Пн-Пт 8:00-00:00 Сб-Вс 12:00-00:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""tue"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""wed"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""thu"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""fri"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""sat"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""sun"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}]}}",greatlist,https://greatlist.ru/msk/restaurant/vysota-5642/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-kaifuso,Kaifuso,"Японский ресторан Аркадия Новикова, открывшийся на минус первом этаже Brasserie «Кузнецкий Мост» на углу, собственно, Кузнецкого Моста и Петровки. Ресторан, благодаря замыслу его создателей и усилиям дизайнера Евгении Ужеговой, похож на хорошо укомплектованный дорогой сундучок…","ул. Кузнецкий мост, д.6/3",55.761648,37.61797,Пн — Вт: Выходной Ср — Сб: 18:00–04:00 Воскресенье: 15:00–24:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[],""tue"":[],""wed"":[{""from"":""18:00"",""to"":""04:00"",""next_day"":true}],""thu"":[{""from"":""18:00"",""to"":""04:00"",""next_day"":true}],""fri"":[{""from"":""18:00"",""to"":""04:00"",""next_day"":true}],""sat"":[{""from"":""18:00"",""to"":""04:00"",""next_day"":true}],""sun"":[{""from"":""15:00"",""to"":""00:00"",""next_day"":true}]}}",greatlist,https://greatlist.ru/msk/restaurant/kaifuso/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-maxs-beef-for-money,Max’s Beef for Money,"Крошечный мясной ресторан с шикарной винной картой в Большом Козихинском пер., 4Говядина на кухню Max’s попадает с собственной фермы, а вина к ней подбирает известный сомелье Владимир Басов.","Большой Козихинский переулок, 4",55.761931871378266,37.59876194224129,Ежедневно 12:30–23:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[{""from"":""12:30"",""to"":""23:00"",""next_day"":false}],""tue"":[{""from"":""12:30"",""to"":""23:00"",""next_day"":false}],""wed"":[{""from"":""12:30"",""to"":""23:00"",""next_day"":false}],""thu"":[{""from"":""12:30"",""to"":""23:00"",""next_day"":false}],""fri"":[{""from"":""12:30"",""to"":""23:00"",""next_day"":false}],""sat"":[{""from"":""12:30"",""to"":""23:00"",""next_day"":false}],""sun"":[{""from"":""12:30"",""to"":""23:00"",""next_day"":false}]}}",greatlist,https://greatlist.ru/msk/restaurant/maxs-beef-for-money/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-fumisawa,Fumisawa,"Ресторан современной японской кухни на ул. Петровка, 5 Кухней заведует шеф-повар Андрей Цой, участвовавший в открытии заведения вместе с Муном Фумисавой. Кроме сушив меню сябу-сябу и говядина кобэ.","ул. Петровка, 5 БЦ Берлинский дом",55.76182160008405,37.617543537137614,Ежедневно 12:00–00:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""tue"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""wed"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""thu"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""fri"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""sat"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""sun"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}]}}",greatlist,https://greatlist.ru/msk/restaurant/fumisawa/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-pino,Pino,"Эффектный ресторан итальянской кухни на Малой Бронной ул., 21/13, стр. 1 В меню —средиземноморская классика в авторской интерпретации шеф-повара Руслана Полякова и отличные десерты.","Малая Бронная ул., 21/13с1",55.76267648055836,37.595000253887996,Ежедневно 08:00–00:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""tue"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""wed"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""thu"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""fri"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""sat"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""sun"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}]}}",greatlist,https://greatlist.ru/msk/restaurant/pino/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-gorynych,Горыныч,"Ресторан со сказочным интерьером и оригинальной концепцией: все, что есть в меню, готовится на огне — в печи, хоспере или смокере. Плюс роскошный вид на Трубную. Рождественский б-р, 1","Рождественский бул., 1",55.7667641843466,37.62434611741779,Вс-Ср 8:00-00:00 Чт-Сб 8:00-02:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""sun"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""mon"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""tue"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""wed"":[{""from"":""08:00"",""to"":""00:00"",""next_day"":true}],""thu"":[{""from"":""08:00"",""to"":""02:00"",""next_day"":true}],""fri"":[{""from"":""08:00"",""to"":""02:00"",""next_day"":true}],""sat"":[{""from"":""08:00"",""to"":""02:00"",""next_day"":true}]}}",greatlist,https://greatlist.ru/msk/restaurant/gorynych/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
greatlist-msk-restaurant-selfie,Selfie,"Один из самых успешных авторских ресторанов в России и лучший проект Анатолия Казакова на Новинском б-р, 31 Ориентированная на локальные и редкие продукты кухня, отличный сервис.","Новинский бульвар, 31",55.757830,37.582520,Ежедневно 12:00–00:00,"{""timezone"":""Europe/Moscow"",""weekly"":{""mon"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""tue"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""wed"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""thu"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""fri"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""sat"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}],""sun"":[{""from"":""12:00"",""to"":""00:00"",""next_day"":true}]}}",greatlist,https://greatlist.ru/msk/restaurant/selfie/,true,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z
